id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Three Little Birds,Bob Marley and The Wailers,reggae,hopeful,0.54,76,0.92,0.78,0.32
12,Blinding Lights,The Weeknd,synth-pop,energetic,0.87,171,0.59,0.80,0.01
13,Lose Yourself,Eminem,hip-hop,motivational,0.88,171,0.31,0.70,0.06
14,Calm Down,Rema,afrobeats,romantic,0.74,107,0.82,0.81,0.38
15,Water,Tyla,amapiano,sensual,0.72,117,0.68,0.86,0.10
16,Take Five,Dave Brubeck Quartet,jazz,playful,0.42,174,0.55,0.49,0.81
17,A Thousand Years,Christina Perri,pop ballad,emotional,0.41,139,0.36,0.47,0.31
18,Oceans (Where Feet May Fail),Hillsong United,worship,reflective,0.48,132,0.38,0.39,0.66
19,Jolene,Dolly Parton,country,anxious,0.62,111,0.43,0.67,0.54
20,Clair de Lune,Claude Debussy,classical,peaceful,0.16,66,0.44,0.24,0.98
